electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,municipality_code,postcode,address,canton,commissioning_date,contract_period_end,company,tariff,project_name,production
0.0154,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.5683,47.2316,Riedholz,4533,4533.0,,SO,2010-01-20,2035-12-31,Juridical person,10827.53,Juridical person,18.477
0.0047,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.4746,47.0989,Malans,9479,9479.0,,SG,2010-01-21,2035-12-31,Natural person,3118.3900000000003,Natural person,5.070528
0.0031,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH063,8.6454,47.011,Ibach,6438,6438.0,,SZ,2010-01-21,2035-12-31,Natural person,1839.4600000000003,Natural person,2.991
0.18,Renewable energy,Bioenergy,Sewage and landfill gas,,BFE,CH0,CH03,CH032,7.8089,47.4641,Sissach,4450,4450.0,Wuhrweg 54,BL,2010-01-21,2030-12-31,Amt für Industrielle Betriebe AIB,173259.32000000007,BHKW ARA Ergolz 1 Sissach,775.5194999999999
0.0076,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.1452,47.1946,Corgénont,2606,2606.0,,BE,2010-01-22,2035-12-31,Natural person,4220.749999999999,Natural person,6.863
0.0033,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.1598,47.471,Villnachern,5213,5213.0,,AG,2010-01-22,2035-12-31,Natural person,2099.6099999999997,Natural person,3.414
0.0094,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.019,47.5231,Oeschgen,5072,5072.0,,AG,2010-01-26,2035-12-31,Natural person,6298.820000000001,Natural person,10.242
0.0022,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.4954,47.2304,Ürzlikon,8926,8926.0,,ZH,2010-01-27,2035-12-31,Natural person,1779.3200000000002,Natural person,2.411
0.0065,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH061,8.1371,47.1357,Nottwil,6207,6207.0,,LU,2010-01-27,2035-12-31,Natural person,4177.09,Natural person,6.792
0.0024,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.0924,47.381,Ganterschwil,9608,9608.0,,SG,2010-01-27,2035-12-31,Natural person,719.8000000000001,Natural person,1.179
0.005,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.3959,47.1921,Grenchen,2540,2540.0,,SO,2010-01-27,2035-12-31,Natural person,2400.64,Natural person,3.9034819999999995
0.0324,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.085,46.217,Vernier,1214,1214.0,Route de Pré-Bois 6,GE,2010-01-29,2035-12-31,Ri Realim SA,17030.179999999997,PV Ri Realim SA Vernier,30.629825
0.0617,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.085,46.217,Vernier,1214,1214.0,Chemin de Blandonnet 10,GE,2010-01-29,2035-12-31,Ri Realim SA,34862.78999999999,PV Ri Realim SA Vernier - bâtiment G-H,65.40862499999999
0.0012,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.4007,46.2324,Bramois,1967,1967.0,,VS,2010-01-29,2035-12-31,Natural person,879.44,Natural person,1.43
0.075,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH06,CH061,7.9714,47.2472,Reidermoos,6260,6260.0,Spitzhubelstrasse 3,LU,2010-02-01,2030-12-31,Reto Grossenbacher,192912.77999999994,BHKW Reto Grossenbacher Reidermoos,401.66459999999995
0.0037,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,7.8999,47.3207,Aarburg,4663,4663.0,,AG,2010-02-01,2035-12-31,Natural person,2523.3399999999997,Natural person,4.103
0.025,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH02,CH021,7.659,46.5621,Kandergrund,3716,3716.0,,BE,2010-02-01,2035-12-31,Juridical person,37206.42,Juridical person,138.612
0.0089,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH024,6.8632,47.0101,Coffrane,2207,2207.0,,NE,2010-02-01,2035-12-31,Natural person,4788.999999999999,Natural person,7.787
0.0011,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,7.9011,47.2759,Vordemwald,4803,4803.0,,AG,2010-02-01,2035-12-31,Natural person,567.63,Natural person,0.923
0.0108,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,8.9364,45.8485,Stabio,6855,6855.0,,TI,2010-02-01,2035-12-31,Juridical person,7526.17,Juridical person,10.402
0.0026,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.1636,47.4147,Wildegg,5103,5103.0,,AG,2010-02-02,2035-12-31,Natural person,1544.27,Natural person,2.511
0.022,Renewable energy,Hydro,,Run-of-river,BFE,CH0,CH05,CH056,9.7618,46.9466,St. Antönien,7246,7246.0,,GR,2010-02-02,2035-12-31,Juridical person,36203.310000000005,Juridical person,151.473249
0.0076,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.3059,47.4733,Baden,5400,5400.0,,AG,2010-02-02,2035-12-31,Juridical person,5765.01,Juridical person,9.374
0.0031,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.5379,46.5397,Echandens,1026,1026.0,,VD,2010-02-03,2035-12-31,Natural person,2501.08,Natural person,3.389
0.0037,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.4912,47.5958,Hüntwangen,8194,8194.0,,ZH,2010-02-04,2035-12-31,Natural person,2328.3900000000003,Natural person,3.786
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.7302,46.4957,Grandvaux,1091,1091.0,,VD,2010-02-04,2035-12-31,Natural person,912.04,Natural person,1.483
0.0026,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH024,6.931,46.9918,Neuenburg,2000,2000.0,,NE,2010-02-05,2035-12-31,Natural person,1686.95,Natural person,2.743
0.1573,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.342,47.4455,Engelburg,9032,9032.0,Moos 485,SG,2010-02-05,2035-12-31,Paul Bollhalder,62770.25000000001,PV Paul Bollhalder Engelburg,159.315375
0.0441,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.5881,46.5399,Renens,1020,1020.0,Rue du Léman 10,VD,2010-02-05,2035-12-31,Romande Energie SA,27408.46,PV - Collège du Léman - Renens ,50.80234
0.0041,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,8.8666,46.1826,Gordola,6596,6596.0,,TI,2010-02-05,2035-12-31,Natural person,2994.8100000000004,Natural person,4.058
0.0099,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.1556,46.2672,Genthod,1294,1294.0,,GE,2010-02-05,2035-12-31,Natural person,4551.379999999999,Natural person,9.365
0.02427,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.3982,46.81100000000001,Bonaduz,7402,7402.0,,GR,2010-02-08,2035-12-31,Natural person,11002.16,Natural person,28.503
0.0029,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,8.7118,46.1201,Brissago,6614,6614.0,,TI,2010-02-08,2035-12-31,Natural person,1353.6200000000001,Natural person,2.201
0.0162,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4999,46.7846,Burgistein,3664,3664.0,,BE,2010-02-09,2035-12-31,Natural person,6277.04,Natural person,16.65
0.0037,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH057,8.8989,47.5578,Frauenfeld,8500,8500.0,,TG,2010-02-10,2035-12-31,Natural person,2175.85,Natural person,3.538
0.0057,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,8.9141,45.9679,Agra,6927,6927.0,,TI,2010-02-10,2035-12-31,Natural person,2662.26,Natural person,5.251
0.0014,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,8.966,46.0359,Canobbio,6952,6952.0,,TI,2010-02-10,2035-12-31,Natural person,955.0899999999999,Natural person,1.553
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4839,47.0168,Moosseedorf,3302,3302.0,,BE,2010-02-11,2035-12-31,Natural person,2159.1699999999996,Natural person,3.5108900000000003
0.0023,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,8.9141,45.9679,Agra,6927,6927.0,,TI,2010-02-12,2035-12-31,Natural person,1362.2300000000002,Natural person,2.215
0.0084,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.3385,47.2743,Muri,5630,5630.0,,AG,2010-02-12,2035-12-31,Natural person,5520.25,Natural person,8.976
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.2488,47.5836,Klingnau,5313,5313.0,,AG,2010-02-15,2035-12-31,Natural person,2022.85,Natural person,2.741
0.0104,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.331,47.3889,Künten,5444,5444.0,,AG,2010-02-15,2035-12-31,Natural person,8864.91,Natural person,12.094
0.0119,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.5722,46.9453,Igis,7206,7206.0,,GR,2010-02-16,2035-12-31,Natural person,8418.19,Natural person,11.74084
0.0069,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.3385,47.2743,Muri,5630,5630.0,,AG,2010-02-16,2035-12-31,Natural person,3377.84,Natural person,4.577
0.0048,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.633,46.5218,Lausanne,1001,1001.0,,VD,2010-02-16,2035-12-31,Juridical person,1405.5400000000002,Juridical person,1.917
0.0108,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.7629,46.5379,Forel (Lavaux),1072,1072.0,,VD,2010-02-17,2035-12-31,Natural person,4120.760000000001,Natural person,8.040896
0.0011,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.5017,47.19,Nennigkofen,4574,4574.0,,SO,2010-02-18,2035-12-31,Natural person,845.34,Natural person,1.14544
0.0075,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH05,CH055,9.5681,47.3209,Oberriet,9463,9463.0,,SG,2010-02-18,2035-12-31,Juridical person,1527.73,Juridical person,5.3801
0.145,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.2701,46.4208,Gland,1196,1196.0,Rue Mauverney 28,VD,2010-02-18,2035-12-31,Romande Energie SA,81838.59000000001,PV Romande Energie SA Gland - IUCN,160.60942500000002
0.0094,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.6441,47.2418,Au,8804,8804.0,,ZH,2010-02-19,2035-12-31,Natural person,4512.859999999999,Natural person,7.338
0.018,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH063,8.5235,47.0634,Arth,6415,6415.0,,SZ,2010-02-19,2035-12-31,Natural person,11664.04,Natural person,17.153
0.0126,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.4215,47.2641,Obfelden,8912,8912.0,,ZH,2010-02-19,2035-12-31,Natural person,9019.75,Natural person,12.686
0.005,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,7.9253,47.3138,Oftringen,4665,4665.0,,AG,2010-02-23,2035-12-31,Natural person,3309.3100000000004,Natural person,5.381
0.0025,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.5328,46.2886,Sierre,3960,3960.0,,VS,2010-02-25,2035-12-31,Natural person,1863.45,Natural person,3.03
0.00288,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.6683,46.549,Epalinges,1066,1066.0,,VD,2010-02-25,2035-12-31,Natural person,2098.99,Natural person,3.413
0.0013,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.2482,47.4615,Birmenstorf,5413,5413.0,,AG,2010-02-26,2035-12-31,Natural person,384.38999999999993,Natural person,0.625
0.0049,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.4417,47.2043,Gams,9473,9473.0,,SG,2010-02-26,2035-12-31,Natural person,3799.2200000000003,Natural person,5.148
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6911,46.6847,Spiez,3700,3700.0,,BE,2010-02-26,2035-12-31,Natural person,2156.8199999999997,Natural person,3.507
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.1394,47.4583,Oberbüren,9245,9245.0,,SG,2010-02-26,2035-12-31,Natural person,2343.1600000000003,Natural person,3.81
0.0041,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.0151,47.4052,Erlinsbach,5018,5018.0,,AG,2010-02-26,2035-12-31,Natural person,2864.63,Natural person,4.65795
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4922,46.8603,Toffen,3125,3125.0,,BE,2010-02-26,2035-12-31,Natural person,1765.04,Natural person,2.87
0.0019,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6279,47.059,Burgdorf,3400,3400.0,,BE,2010-03-01,2035-12-31,Natural person,777.3699999999999,Natural person,1.264
0.0037,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.1147,46.1385,Fully,1926,1926.0,,VS,2010-03-01,2035-12-31,Natural person,2527.67,Natural person,3.425
0.0056,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,7.8113,47.5287,Magden,4312,4312.0,,AG,2010-03-01,2035-12-31,Natural person,3310.5399999999995,Natural person,5.383
0.25,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH01,CH012,7.2183,46.066,Le Châble,1934,1934.0,Place de Curala 5,VS,2010-03-01,2035-12-31,Services Industriels de Bagnes (SIB),259010.44000000006,Hydro Curala Le Châble,1061.0413
0.1162,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.1832,47.413,Flawil,9230,9230.0,Glatthaldenstrasse 20,SG,2010-03-01,2035-12-31,Glatt Solar GmbH,50357.00999999999,PV Glatt Solar GmbH Flawil - Eigenmann AG,116.56717499999999
0.0016,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.1751,46.1494,Saxon,1907,1907.0,,VS,2010-03-01,2035-12-31,Natural person,685.62,Natural person,0.929
0.0175,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.2555,47.5021,Untersiggenthal,5417,5417.0,,AG,2010-03-02,2035-12-31,Juridical person,8335.72,Juridical person,14.483
0.0072,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.3958,47.1922,Sins,5643,5643.0,,AG,2010-03-02,2035-12-31,Natural person,4683.84,Natural person,7.616
0.0072,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.2813,47.3016,Kallern,5625,5625.0,,AG,2010-03-02,2035-12-31,Natural person,4600.19,Natural person,7.48
0.0086,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.3958,47.1922,Sins,5643,5643.0,,AG,2010-03-02,2035-12-31,Natural person,5968.58,Natural person,9.705
0.0063,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH053,9.3185,47.3646,Hundwil,9064,9064.0,,AR,2010-03-02,2035-12-31,Natural person,4143.25,Natural person,6.737
0.0066,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.4992,47.2136,Bellach,4512,4512.0,,SO,2010-03-02,2035-12-31,Natural person,3416.33,Natural person,5.555
0.815,Renewable energy,Hydro,,Run-of-river,BFE,CH0,CH05,CH051,9.0789,47.0336,Ennenda,8755,8755.0,Mühlefuhr 2,GL,2010-03-02,2035-12-31,Holzbau Zweifel AG,939189.48,KW Mühlefuhr Ennenda,4733.097
0.0101,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH061,8.3064,47.0505,Luzern,6003,6003.0,,LU,2010-03-03,2035-12-31,Natural person,3984.39,Natural person,7.782
0.0075,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.6401,47.3499,Ebmatingen,8123,8123.0,,ZH,2010-03-03,2035-12-31,Natural person,3343.63,Natural person,7.099
0.008,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,7.9812,47.3214,Safenwil,5745,5745.0,,AG,2010-03-04,2035-12-31,Natural person,6333.5199999999995,Natural person,8.582
0.272,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH06,CH063,8.525,46.9942,Gersau,6442,6442.0,Bläuistrasse 13,SZ,2010-03-04,2035-12-31,Camenzind & Co. AG,153246.52999999997,KWKW Gillen Gersau,683.0479799999998
0.0028,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.4094,46.278,Blignoud-Ayent,1966,1966.0,,VS,2010-03-04,2035-12-31,Natural person,1337.6299999999999,Natural person,2.175
0.0059,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.5721,47.5234,Bottmingen,4103,4103.0,,BL,2010-03-05,2035-12-31,Natural person,2205.52,Natural person,4.233276
0.0063,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.2309,46.8013,Falera,7153,7153.0,,GR,2010-03-05,2035-12-31,Natural person,4015.8299999999995,Natural person,5.44149
0.00358,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.5721,47.5234,Bottmingen,4103,4103.0,,BL,2010-03-05,2035-12-31,Natural person,1343.11,Natural person,2.7636229999999995
0.00358,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.5721,47.5234,Bottmingen,4103,4103.0,,BL,2010-03-05,2035-12-31,Natural person,1222.18,Natural person,2.514746
0.0033,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6618,46.7352,Hilterfingen,3652,3652.0,,BE,2010-03-05,2035-12-31,Natural person,2457.53,Natural person,3.33
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6618,46.7352,Hilterfingen,3652,3652.0,,BE,2010-03-05,2035-12-31,Natural person,2089.28,Natural person,2.831
0.0034,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6196,46.8395,Aeschlen b. Oberdiessbach,3672,3672.0,,BE,2010-03-05,2035-12-31,Natural person,1886.8300000000002,Natural person,3.068
0.0025,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.5371,47.2079,Solothurn,4500,4500.0,,SO,2010-03-05,2035-12-31,Natural person,1324.1,Natural person,2.153
0.0059,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.1896,47.3173,Boniswil,5706,5706.0,,AG,2010-03-05,2035-12-31,Natural person,3770.57,Natural person,6.131
0.0043,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH061,8.0478,47.1328,Grosswangen,6022,6022.0,,LU,2010-03-05,2035-12-31,Natural person,3001.19,Natural person,4.88
0.0014,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4983,46.8913,Belp,3123,3123.0,,BE,2010-03-08,2035-12-31,Natural person,922.49,Natural person,1.5
0.0029,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH053,9.5761,47.4613,Lutzenberg,9426,9426.0,,AR,2010-03-08,2035-12-31,Natural person,2113.63,Natural person,2.864
0.0046,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH061,8.0478,47.1328,Grosswangen,6022,6022.0,,LU,2010-03-08,2035-12-31,Natural person,3563.06,Natural person,4.828
0.0054,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.561,46.873,Münsingen,3110,3110.0,,BE,2010-03-08,2035-12-31,Natural person,4211.02,Natural person,5.706
0.002,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.4679,47.2438,Frümsen,9467,9467.0,,SG,2010-03-08,2035-12-31,Natural person,1050.4199999999998,Natural person,1.708
0.004,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,7.9253,47.3138,Oftringen,4665,4665.0,,AG,2010-03-08,2035-12-31,Natural person,2774.8900000000003,Natural person,4.512
0.32,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH03,CH033,8.0434,47.5416,Kaisten,5082,5082.0,Rüti 486,AG,2010-03-09,2030-12-31,Biogas AG Fricktal,970375.56,B HKW Biogas AG Fricktal Naef Kaisten ,2440.33485
0.0571,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.9646,46.3181,Aigle,1860,1860.0,Route Novasalles,VD,2010-03-09,2035-12-31,Romande Energie SA,35936.009999999995,PV Halle de Novasalles Aigle,67.74225
0.0065,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6217,46.7512,Thun,3600,3600.0,,BE,2010-03-09,2035-12-31,Natural person,4592.820000000001,Natural person,7.468
0.0045,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,7.794,47.5544,Rheinfelden,4310,4310.0,,AG,2010-03-10,2035-12-31,Natural person,2917.56,Natural person,4.744
0.0013,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,8.9553,46.0364,Comano,6949,6949.0,,TI,2010-03-10,2035-12-31,Natural person,974.78,Natural person,1.585
0.0105,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.7207,47.3905,Liedertswil,4436,4436.0,,BL,2010-03-10,2035-12-31,Natural person,5914.950000000001,Natural person,11.736
0.0058,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.8003,46.312,Raron,3942,3942.0,,VS,2010-03-11,2035-12-31,Natural person,4721.35,Natural person,7.677
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.1905,47.2425,Menziken,5737,5737.0,,AG,2010-03-11,2035-12-31,Natural person,2625.8099999999995,Natural person,3.558
0.0035,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH057,9.2574,47.5207,Zihlschlacht,8588,8588.0,,TG,2010-03-12,2035-12-31,Natural person,2127.28,Natural person,3.459
0.0077,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.1024,47.3593,Gränichen,5722,5722.0,,AG,2010-03-12,2035-12-31,Juridical person,6389.61,Juridical person,8.658
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.3623,47.0659,Grossaffoltern,3257,3257.0,,BE,2010-03-12,2035-12-31,Natural person,2159.2599999999998,Natural person,3.511
0.00813,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.1256,46.9133,Münchenwiler,1797,1797.0,,BE,2010-03-15,2035-12-31,Natural person,3326.7899999999995,Natural person,8.641
0.0143,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.2501,46.4292,Coinsins,1267,1267.0,,VD,2010-03-15,2035-12-31,Juridical person,9349.14,Juridical person,15.846
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.6411,46.7785,Yverdon,1400,1400.0,,VD,2010-03-15,2035-12-31,Natural person,2048.68,Natural person,2.776
0.0098,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.1024,47.3593,Gränichen,5722,5722.0,,AG,2010-03-15,2035-12-31,Juridical person,4534.31,Juridical person,7.426
0.0046,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.6433,46.3111,Susten,3952,3952.0,,VS,2010-03-16,2035-12-31,Juridical person,3309.93,Juridical person,4.485
0.0097,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.1975,46.2403,Vesenaz,1222,1222.0,,GE,2010-03-17,2035-12-31,Natural person,8182.579999999999,Natural person,13.305
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH057,9.0674,47.6617,Fruthwilen,8269,8269.0,,TG,2010-03-17,2035-12-31,Natural person,2229.3700000000003,Natural person,3.625
0.0133,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6311,46.8664,Konolfingen,3510,3510.0,,BE,2010-03-17,2035-12-31,Natural person,10211.99,Natural person,17.163
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.2548,47.4155,Gossau,9200,9200.0,,SG,2010-03-17,2035-12-31,Natural person,1860.37,Natural person,3.024975
0.0061,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.6533,47.6291,Marthalen,8460,8460.0,,ZH,2010-03-17,2035-12-31,Natural person,5539.31,Natural person,9.007
0.0014,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.6332,46.6413,Villars-le-Terroir,1040,1040.0,,VD,2010-03-17,2035-12-31,Natural person,909.5899999999999,Natural person,1.479
0.0041,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.6683,46.549,Epalinges,1066,1066.0,,VD,2010-03-17,2035-12-31,Natural person,2563.3199999999997,Natural person,4.168
0.0108,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.0455,47.4615,Wil,9500,9500.0,,SG,2010-03-17,2035-12-31,Natural person,7637.1900000000005,Natural person,12.540521
0.0067,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,7.8358,47.2677,Murgenthal,4853,4853.0,,AG,2010-03-17,2035-12-31,Natural person,5232.79,Natural person,8.508604
0.035,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.1361,46.1917,Carouge,1227,1227.0,Route des Acacias 60,GE,2010-03-17,2035-12-31,Services Industriels de Genève (SIG),21634.140000000007,PV Services Industriels de Genève (SIG) Carouge - 14 Pictet 1,39.442299999999996
0.0025,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.6332,47.4083,Widnau,9443,9443.0,,SG,2010-03-17,2035-12-31,Natural person,1178.34,Natural person,1.916
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4109,47.0632,Rapperswil,3255,3255.0,,BE,2010-03-18,2035-12-31,Natural person,2196.95,Natural person,3.5722799999999997
0.0095,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.1024,47.3593,Gränichen,5722,5722.0,,AG,2010-03-18,2035-12-31,Natural person,5704.74,Natural person,9.276
0.0053,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.3959,47.1921,Grenchen,2540,2540.0,,SO,2010-03-18,2035-12-31,Natural person,4052.580000000001,Natural person,5.491293000000001
0.0022,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.9114,46.433,Montreux,1820,1820.0,,VD,2010-03-18,2035-12-31,Natural person,1025.82,Natural person,1.668
0.0093,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6196,46.8395,Oberdiessbach,3672,3672.0,,BE,2010-03-18,2035-12-31,Natural person,5581.740000000001,Natural person,9.076
0.0072,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH054,9.3623,47.3531,Appenzell,9050,9050.0,,AI,2010-03-18,2035-12-31,Natural person,5551.240000000001,Natural person,7.522
